ApplNo	ProductNo	Form	RoutsOfAdministration	DrugName	ActiveIngredient
062883	001	CAPSULE	ORAL	AMPICILLIN TRIHYDRATE	AMPICILLIN/AMPICILLIN TRIHYDRATE
062884	001	CAPSULE	ORAL	AMOXICILLIN	AMOXICILLIN
062885	001	FOR_SUSPENSION	ORAL	TRIMOX	AMOXICILLIN
062885	002	FOR_SUSPENSION	ORAL	TRIMOX	AMOXICILLIN
062888	001	CAPSULE	ORAL	PRINCIPEN	AMPICILLIN/AMPICILLIN TRIHYDRATE
062888	002	CAPSULE	ORAL	PRINCIPEN	AMPICILLIN/AMPICILLIN TRIHYDRATE
062889	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062894	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062894	002	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062894	003	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062894	004	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062894	005	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062895	001	TABLET	ORAL	CYCLACILLIN	CYCLACILLIN
062895	002	TABLET	ORAL	CYCLACILLIN	CYCLACILLIN
062900	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062901	001	INJECTABLE	INJECTION	UNASYN	AMPICILLIN SODIUM; SULBACTAM SODIUM
062901	002	INJECTABLE	INJECTION	UNASYN	AMPICILLIN SODIUM; SULBACTAM SODIUM
062905	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062908	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062911	001	INJECTABLE	INJECTION	VANCOMYCIN HYDROCHLORIDE	VANCOMYCIN HYDROCHLORIDE
062912	001	INJECTABLE	INJECTION	VANCOMYCIN HYDROCHLORIDE	VANCOMYCIN HYDROCHLORIDE
062912	002	INJECTABLE	INJECTION	VANCOMYCIN HYDROCHLORIDE	VANCOMYCIN HYDROCHLORIDE
062913	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062921	001	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
062921	002	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
062921	003	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
062926	001	INJECTABLE	INJECTION	RUBEX	DOXORUBICIN HYDROCHLORIDE
062926	002	INJECTABLE	INJECTION	RUBEX	DOXORUBICIN HYDROCHLORIDE
062926	003	INJECTABLE	INJECTION	RUBEX	DOXORUBICIN HYDROCHLORIDE
062927	001	FOR_SUSPENSION	ORAL	AMOXICILLIN	AMOXICILLIN
062927	002	FOR_SUSPENSION	ORAL	AMOXICILLIN	AMOXICILLIN
062928	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062930	001	SOLUTION	TOPICAL	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062931	001	INJECTABLE	INJECTION	VANCOMYCIN HYDROCHLORIDE	VANCOMYCIN HYDROCHLORIDE
062932	001	SOLUTION_DROPS	OPHTHALMIC	GENTAMICIN SULFATE	GENTAMICIN SULFATE
062933	001	INJECTABLE	INJECTION	VANCOMYCIN HYDROCHLORIDE	VANCOMYCIN HYDROCHLORIDE
062933	002	INJECTABLE	INJECTION	VANCOMYCIN HYDROCHLORIDE	VANCOMYCIN HYDROCHLORIDE
062935	001	TABLET	ORAL	PENICILLIN V POTASSIUM	PENICILLIN V POTASSIUM
062936	001	TABLET	ORAL	PENICILLIN V POTASSIUM	PENICILLIN V POTASSIUM
062938	001	OINTMENT	OPHTHALMIC	NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE	DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
062943	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062944	001	SOLUTION	TOPICAL	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062945	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
062945	002	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
062946	001	FOR_SUSPENSION	ORAL	AMOXICILLIN	AMOXICILLIN
062949	001	CREAM	TOPICAL	NYSTATIN	NYSTATIN
062953	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
062956	001	INJECTABLE	INJECTION	VANCOR	VANCOMYCIN HYDROCHLORIDE
062956	002	INJECTABLE	INJECTION	VANCOR	VANCOMYCIN HYDROCHLORIDE
062957	001	SOLUTION	TOPICAL	ERYTHROMYCIN	ERYTHROMYCIN
062961	001	INJECTABLE	INJECTION	CEFADYL	CEPHAPIRIN SODIUM
062961	002	INJECTABLE	INJECTION	CEFADYL	CEPHAPIRIN SODIUM
062961	003	INJECTABLE	INJECTION	CEFADYL	CEPHAPIRIN SODIUM
062961	004	INJECTABLE	INJECTION	CEFADYL	CEPHAPIRIN SODIUM
062973	001	CAPSULE	ORAL	CEPHALEXIN	CEPHALEXIN
062974	001	CAPSULE	ORAL	CEPHALEXIN	CEPHALEXIN
062975	001	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
062978	001	FOR_SOLUTION	ORAL	CLOXACILLIN SODIUM	CLOXACILLIN SODIUM
062981	001	FOR_SOLUTION	ORAL	PENICILLIN V POTASSIUM	PENICILLIN V POTASSIUM
062981	002	FOR_SOLUTION	ORAL	PENICILLIN V POTASSIUM	PENICILLIN V POTASSIUM
062982	001	FOR_SUSPENSION	ORAL	AMPICILLIN TRIHYDRATE	AMPICILLIN/AMPICILLIN TRIHYDRATE
062982	002	FOR_SUSPENSION	ORAL	AMPICILLIN TRIHYDRATE	AMPICILLIN/AMPICILLIN TRIHYDRATE
062984	001	INJECTABLE	INJECTION	OXACILLIN SODIUM	OXACILLIN SODIUM
062986	001	FOR_SUSPENSION	ORAL	CEPHALEXIN	CEPHALEXIN
062987	001	FOR_SUSPENSION	ORAL	CEPHALEXIN	CEPHALEXIN
062988	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062988	002	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062988	003	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062989	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062989	002	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062989	003	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
062991	001	INJECTABLE	INJECTION	PENICILLIN G POTASSIUM	PENICILLIN G POTASSIUM
062991	002	INJECTABLE	INJECTION	PENICILLIN G POTASSIUM	PENICILLIN G POTASSIUM
062991	003	INJECTABLE	INJECTION	PENICILLIN G POTASSIUM	PENICILLIN G POTASSIUM
062991	004	INJECTABLE	INJECTION	PENICILLIN G POTASSIUM	PENICILLIN G POTASSIUM
062992	001	INJECTABLE	INJECTION	DOXYCYCLINE HYCLATE	DOXYCYCLINE HYCLATE
062992	002	INJECTABLE	INJECTION	DOXYCYCLINE HYCLATE	DOXYCYCLINE HYCLATE
062993	001	INJECTABLE	INJECTION	ERYTHROMYCIN LACTOBIONATE	ERYTHROMYCIN LACTOBIONATE
062993	002	INJECTABLE	INJECTION	ERYTHROMYCIN LACTOBIONATE	ERYTHROMYCIN LACTOBIONATE
062994	001	INJECTABLE	INJECTION	AMPICILLIN SODIUM	AMPICILLIN SODIUM
062999	001	TABLET_DELAYED_RELEASE	ORAL	E-BASE	ERYTHROMYCIN
063000	001	INJECTABLE	INJECTION	POLYMYXIN B SULFATE	POLYMYXIN B SULFATE
063001	001	FOR_SUSPENSION	ORAL	AMOXICILLIN	AMOXICILLIN
063002	001	INJECTABLE	INJECTION	ANCEF IN PLASTIC CONTAINER	CEFAZOLIN SODIUM
063002	002	INJECTABLE	INJECTION	ANCEF IN PLASTIC CONTAINER	CEFAZOLIN SODIUM
063008	001	INJECTABLE	INJECTION	NAFCILLIN SODIUM	NAFCILLIN SODIUM
063009	001	CAPSULE	ORAL	MINOCYCLINE HYDROCHLORIDE	MINOCYCLINE HYDROCHLORIDE
063009	002	CAPSULE	ORAL	MINOCYCLINE HYDROCHLORIDE	MINOCYCLINE HYDROCHLORIDE
063010	001	CREAM	TOPICAL	NYSTATIN AND TRIAMCINOLONE ACETONIDE	NYSTATIN; TRIAMCINOLONE ACETONIDE
063011	001	CAPSULE	ORAL	MINOCYCLINE HYDROCHLORIDE	MINOCYCLINE HYDROCHLORIDE
063014	001	INJECTABLE	INTRAMUSCULAR_INTRAVENOUS	PENICILLIN G SODIUM	PENICILLIN G SODIUM
063016	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063016	002	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063016	003	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063017	001	CAPSULE	ORAL	CEFADROXIL	CEFADROXIL/CEFADROXIL HEMIHYDRATE
063018	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063018	002	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063021	001	INJECTABLE	INJECTION	KANAMYCIN SULFATE	KANAMYCIN SULFATE
063022	001	INJECTABLE	INJECTION	KANAMYCIN SULFATE	KANAMYCIN SULFATE
063023	001	TABLET	ORAL	CEPHALEXIN	CEPHALEXIN
063024	001	TABLET	ORAL	CEPHALEXIN	CEPHALEXIN
063025	001	INJECTABLE	INJECTION	KANAMYCIN SULFATE	KANAMYCIN SULFATE
063027	001	CAPSULE	ORAL	CLINDAMYCIN HYDROCHLORIDE	CLINDAMYCIN HYDROCHLORIDE
063028	001	TABLET_DELAYED_RELEASE	ORAL	E-BASE	ERYTHROMYCIN
063029	001	CAPSULE	ORAL	CLINDAMYCIN HYDROCHLORIDE	CLINDAMYCIN HYDROCHLORIDE
063029	002	CAPSULE	ORAL	CLINDAMYCIN HYDROCHLORIDE	CLINDAMYCIN HYDROCHLORIDE
063030	001	CAPSULE	ORAL	AMOXICILLIN	AMOXICILLIN
063031	001	CAPSULE	ORAL	AMOXICILLIN	AMOXICILLIN
063038	001	SOLUTION	TOPICAL	ERYTHROMYCIN	ERYTHROMYCIN
063041	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
063063	001	CAPSULE	ORAL	CEPHALEXIN	CEPHALEXIN
063063	002	CAPSULE	ORAL	CEPHALEXIN	CEPHALEXIN
063065	001	CAPSULE	ORAL	MINOCYCLINE HYDROCHLORIDE	MINOCYCLINE HYDROCHLORIDE
063065	002	CAPSULE	ORAL	MINOCYCLINE HYDROCHLORIDE	MINOCYCLINE HYDROCHLORIDE
063067	001	CAPSULE	ORAL	DYNACIN	MINOCYCLINE HYDROCHLORIDE
063067	002	CAPSULE	ORAL	DYNACIN	MINOCYCLINE HYDROCHLORIDE
063067	003	CAPSULE	ORAL	DYNACIN	MINOCYCLINE HYDROCHLORIDE
063068	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
063076	001	INJECTABLE	INJECTION	VANCOMYCIN HYDROCHLORIDE	VANCOMYCIN HYDROCHLORIDE
063079	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
063080	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063081	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	TOBRAMYCIN SULFATE
063081	003	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	TOBRAMYCIN SULFATE
063081	006	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	TOBRAMYCIN SULFATE
063082	001	CAPSULE	ORAL	CLINDAMYCIN HYDROCHLORIDE	CLINDAMYCIN HYDROCHLORIDE
063083	001	CAPSULE	ORAL	CLINDAMYCIN HYDROCHLORIDE	CLINDAMYCIN HYDROCHLORIDE
063083	002	CAPSULE	ORAL	CLINDAMYCIN HYDROCHLORIDE	CLINDAMYCIN HYDROCHLORIDE
063086	001	TABLET_DELAYED_RELEASE	ORAL	E-BASE	ERYTHROMYCIN
063092	001	INJECTABLE	INJECTION	KANAMYCIN SULFATE	KANAMYCIN SULFATE
063097	001	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
063097	002	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
063097	003	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
063098	001	CAPSULE_DELAYED_REL_PELLETS	ORAL	ERYTHROMYCIN	ERYTHROMYCIN
063099	001	CAPSULE	ORAL	TRIMOX	AMOXICILLIN
063099	002	CAPSULE	ORAL	TRIMOX	AMOXICILLIN
063100	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063106	002	INJECTABLE	INJECTION	GENTAMICIN SULFATE	GENTAMICIN SULFATE
063107	001	GEL	TOPICAL	EMGEL	ERYTHROMYCIN
063111	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063112	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063113	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063116	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE (PHARMACY BULK)	TOBRAMYCIN SULFATE
063117	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063118	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063119	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063120	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063121	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063122	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063127	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063128	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063142	001	INJECTABLE	INJECTION	AMPICILLIN SODIUM	AMPICILLIN SODIUM
063147	001	INJECTABLE	INJECTION	AMPICILLIN SODIUM	AMPICILLIN SODIUM
063149	001	INJECTABLE	INJECTION	GENTAMICIN SULFATE	GENTAMICIN SULFATE
063161	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
063163	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
063165	001	INJECTABLE	INJECTION	ADRIAMYCIN PFS	DOXORUBICIN HYDROCHLORIDE
063165	002	INJECTABLE	INJECTION	ADRIAMYCIN PFS	DOXORUBICIN HYDROCHLORIDE
063167	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063169	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063176	001	SOLUTION_DROPS	OPHTHALMIC	TOBRAMYCIN	TOBRAMYCIN
063179	001	TABLET	ORAL	ERYTHROMYCIN STEARATE	ERYTHROMYCIN STEARATE
063180	001	INJECTABLE	INJECTION	LINCOMYCIN HYDROCHLORIDE	LINCOMYCIN HYDROCHLORIDE
063181	001	CAPSULE	ORAL	MINOCYCLINE HYDROCHLORIDE	MINOCYCLINE HYDROCHLORIDE
063182	001	INJECTABLE	INJECTION	MEFOXIN IN PLASTIC CONTAINER	CEFOXITIN SODIUM
063182	002	INJECTABLE	INJECTION	MEFOXIN IN PLASTIC CONTAINER	CEFOXITIN SODIUM
063186	001	CAPSULE	ORAL	CEPHALEXIN	CEPHALEXIN
063186	002	CAPSULE	ORAL	CEPHALEXIN	CEPHALEXIN
063187	001	CAPSULE_COATED_PELLETS	ORAL	DOXYCYCLINE HYCLATE	DOXYCYCLINE HYCLATE
063206	001	INJECTABLE	INJECTION	AMPHOTERICIN B	AMPHOTERICIN B
063207	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063208	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063209	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063209	002	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063211	001	GEL	TOPICAL	ERYTHROMYCIN	ERYTHROMYCIN
063214	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063216	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
063221	001	INJECTABLE	INJECTION	CEFTAZIDIME SODIUM IN PLASTIC CONTAINER	CEFTAZIDIME SODIUM
063221	002	INJECTABLE	INJECTION	CEFTAZIDIME SODIUM IN PLASTIC CONTAINER	CEFTAZIDIME SODIUM
063221	003	INJECTABLE	INJECTION	CEFTAZIDIME SODIUM IN PLASTIC CONTAINER	CEFTAZIDIME SODIUM
063239	001	INJECTABLE	INJECTION	ROCEPHIN	CEFTRIAXONE SODIUM
063239	002	INJECTABLE	INJECTION	ROCEPHIN	CEFTRIAXONE SODIUM
063239	003	INJECTABLE	INJECTION	ROCEPHIN	CEFTRIAXONE SODIUM
063253	001	INJECTABLE	INJECTION	ERYTHROMYCIN LACTOBIONATE	ERYTHROMYCIN LACTOBIONATE
063253	002	INJECTABLE	INJECTION	ERYTHROMYCIN LACTOBIONATE	ERYTHROMYCIN LACTOBIONATE
063263	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063264	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063265	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063266	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063274	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063275	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063277	001	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
063282	001	INJECTABLE	INJECTION	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
063283	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063293	001	INJECTABLE	INJECTION	CEFOTAN	CEFOTETAN DISODIUM
063293	002	INJECTABLE	INJECTION	CEFOTAN	CEFOTETAN DISODIUM
063294	002	INJECTABLE	INJECTION	CEFIZOX	CEFTIZOXIME SODIUM
063294	003	INJECTABLE	INJECTION	CEFIZOX	CEFTIZOXIME SODIUM
063295	001	INJECTABLE	INJECTION	MONOCID	CEFONICID SODIUM
063304	001	SOLUTION	TOPICAL	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
063305	001	OINTMENT	TOPICAL	NYSTATIN AND TRIAMCINOLONE ACETONIDE	NYSTATIN; TRIAMCINOLONE ACETONIDE
063313	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063315	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063321	002	FOR_SOLUTION	ORAL	VANCOLED	VANCOMYCIN HYDROCHLORIDE
063321	003	FOR_SOLUTION	ORAL	VANCOLED	VANCOMYCIN HYDROCHLORIDE
063322	001	INJECTABLE	INJECTION	PENTACEF	CEFTAZIDIME
063322	002	INJECTABLE	INJECTION	PENTACEF	CEFTAZIDIME
063329	001	SOLUTION	TOPICAL	CLINDA-DERM	CLINDAMYCIN PHOSPHATE
063333	001	INJECTABLE	INJECTION	CEFOBID	CEFOPERAZONE SODIUM
063333	002	INJECTABLE	INJECTION	CEFOBID	CEFOPERAZONE SODIUM
063336	001	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
063336	004	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
063350	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
063350	002	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
064006	001	INJECTABLE	INJECTION	PENTACEF	CEFTAZIDIME
064006	002	INJECTABLE	INJECTION	PENTACEF	CEFTAZIDIME
064008	001	INJECTABLE	INJECTION	PENTACEF	CEFTAZIDIME
064008	002	INJECTABLE	INJECTION	PENTACEF	CEFTAZIDIME
064013	001	TABLET_CHEWABLE	ORAL	AMOXICILLIN	AMOXICILLIN
064013	002	TABLET_CHEWABLE	ORAL	AMOXICILLIN	AMOXICILLIN
064021	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
064021	002	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
064022	001	CREAM	TOPICAL	NYSTATIN	NYSTATIN
064026	001	INJECTABLE	INJECTION	TOBRAMYCIN SULFATE	TOBRAMYCIN SULFATE
064028	001	OINTMENT	OPHTHALMIC	BACITRACIN ZINC AND POLYMYXIN B SULFATE	BACITRACIN ZINC; POLYMYXIN B SULFATE
064030	001	OINTMENT	OPHTHALMIC	ERYTHROMYCIN	ERYTHROMYCIN
064031	001	TABLET_CHEWABLE	ORAL	AMOXICILLIN	AMOXICILLIN
064031	002	TABLET_CHEWABLE	ORAL	AMOXICILLIN	AMOXICILLIN
064032	001	INJECTABLE	INJECTION	TAZICEF	CEFTAZIDIME
064032	002	INJECTABLE	INJECTION	TAZICEF	CEFTAZIDIME
064033	001	INJECTABLE	INJECTION	CEFAZOLIN SODIUM	CEFAZOLIN SODIUM
064035	001	INJECTABLE	INTRAMUSCULAR_INTRAVENOUS	CEFUROXIME SODIUM	CEFUROXIME SODIUM
064035	002	INJECTABLE	INJECTION	CEFUROXIME SODIUM	CEFUROXIME SODIUM
064036	001	INJECTABLE	INJECTION	CEFUROXIME SODIUM	CEFUROXIME SODIUM
064039	001	SOLUTION	TOPICAL	ERYTHROMYCIN	ERYTHROMYCIN
064042	001	SUSPENSION	ORAL	NYSTATIN	NYSTATIN
064045	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
064045	002	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
064046	001	OINTMENT	OPHTHALMIC	BACITRACIN ZINC AND POLYMYXIN B SULFATE	BACITRACIN ZINC; POLYMYXIN B SULFATE
064047	001	SOLUTION_DROPS	OPHTHALMIC	NEOMYCIN AND POLYMYXIN B SULFATES AND GRAMICIDIN	GRAMICIDIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
064048	001	SOLUTION_DROPS	OPHTHALMIC	GENTAMICIN SULFATE	GENTAMICIN SULFATE
064050	001	SOLUTION	TOPICAL	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN PHOSPHATE
064052	001	SOLUTION_DROPS	OPHTHALMIC	TOBRAMYCIN	TOBRAMYCIN
064053	001	SOLUTION_DROPS	OTIC	NEOMYCIN AND POLYMYXIN B SULFATES AND HYDROCORTISONE	HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
064054	001	OINTMENT	TOPICAL	GENTAMICIN SULFATE	GENTAMICIN SULFATE
064055	001	SOLUTION_DROPS	OPHTHALMIC	NEOMYCIN SULFATE AND DEXAMETHASONE SODIUM PHOSPHATE	DEXAMETHASONE SODIUM PHOSPHATE; NEOMYCIN SULFATE
064056	001	CREAM	TOPICAL	GENTAMICIN SULFATE	GENTAMICIN SULFATE
064061	001	CAPSULE	ORAL	CEFACLOR	CEFACLOR
064061	002	CAPSULE	ORAL	CEFACLOR	CEFACLOR
064062	001	INJECTABLE	INJECTION	AMPHOTERICIN B	AMPHOTERICIN B
064063	001	OINTMENT	OPHTHALMIC	NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE	DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
064064	001	OINTMENT	OPHTHALMIC	NEOMYCIN AND POLYMYXIN B SULFATES AND BACITRACIN ZINC	BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
064065	001	SUSPENSION_DROPS	OTIC	OTICAIR	HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
064067	001	OINTMENT	OPHTHALMIC	ERYTHROMYCIN	ERYTHROMYCIN
064068	001	OINTMENT	OPHTHALMIC	NEOMYCIN AND POLYMYXIN B SULFATES, BACITRACIN ZINC AND HYDROCORTISONE	BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
064070	001	FOR_SUSPENSION	ORAL	CEFACLOR	CEFACLOR
064071	001	TABLET	ORAL	PENICILLIN V POTASSIUM	PENICILLIN V POTASSIUM
064071	002	TABLET	ORAL	PENICILLIN V POTASSIUM	PENICILLIN V POTASSIUM
064076	001	CAPSULE	ORAL	AMOXICILLIN	AMOXICILLIN
064076	002	CAPSULE	ORAL	AMOXICILLIN	AMOXICILLIN
064081	001	CAPSULE	ORAL	CEFACLOR	CEFACLOR
064081	002	CAPSULE	ORAL	CEFACLOR	CEFACLOR
064082	001	CAPSULE	ORAL	AMPICILLIN TRIHYDRATE	AMPICILLIN/AMPICILLIN TRIHYDRATE
064082	002	CAPSULE	ORAL	AMPICILLIN TRIHYDRATE	AMPICILLIN/AMPICILLIN TRIHYDRATE
064084	001	INJECTABLE	INJECTION	BLEOMYCIN SULFATE	BLEOMYCIN SULFATE
064084	002	INJECTABLE	INJECTION	BLEOMYCIN SULFATE	BLEOMYCIN SULFATE
064085	001	FOR_SUSPENSION	ORAL	CEFACLOR	CEFACLOR
064086	001	FOR_SUSPENSION	ORAL	CEFACLOR	CEFACLOR
064087	001	FOR_SUSPENSION	ORAL	CEFACLOR	CEFACLOR
064093	001	OINTMENT	OPHTHALMIC	GENTAMICIN SULFATE	GENTAMICIN SULFATE
064096	001	SOLUTION_DROPS	OPHTHALMIC	AKTOB	TOBRAMYCIN
064097	001	INJECTABLE	INJECTION	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE
064098	001	INJECTABLE	INJECTION	AMIKACIN SULFATE	AMIKACIN SULFATE
